customer_state,total_orders,avg_delay_days,on_time_rate,total_revenue,avg_review_score,churn_rate,avg_churn_prob,revenue_at_risk
AC,80,0.69,0.9639,19586.25,4.08,0.15,0.4271899,8593.868349978924
AL,397,2.35,0.7566,94498.48,3.84,0.2131979695431472,0.5054701,45524.25677305028
AM,145,0.82,0.9605,27679.32,4.23,0.13194444444444445,0.46336067,12435.958593836875
AP,67,2.12,0.9565,16141.81,4.26,0.06060606060606061,0.45116457,7162.453527463675
BA,3256,1.55,0.8589,593541.16,3.93,0.17064106534530815,0.47464895,281156.46021102014
CE,1279,2.18,0.8482,267294.78,3.95,0.17282010997643363,0.48123628,126595.99067023926
DF,2080,0.45,0.9306,348624.23,4.13,0.13333333333333333,0.4102101,141791.27658400565
ES,1995,1.3,0.8787,318491.23,4.08,0.13814118842051804,0.4414068,138822.00637682274
GO,1957,0.77,0.9182,337747.38,4.09,0.13360739979445016,0.43433005,146732.32590590508
MA,717,1.94,0.8051,148145.43,3.81,0.199438202247191,0.5053621,77173.67175470517
MG,11354,0.41,0.9447,1826872.47,4.19,0.1178555604785113,0.4003028,740387.67365348
MS,701,0.86,0.8869,136059.95,4.19,0.13304721030042918,0.4367409,60134.53435067743
MT,886,0.66,0.9331,181796.33,4.15,0.12741751990898748,0.43705684,82748.71751821309
PA,946,1.49,0.8774,212662.8,3.91,0.18113612004287247,0.49372002,103280.65371685207
PB,517,1.16,0.8859,137949.38,4.07,0.1484375,0.4684157,60367.35353282124
PE,1593,1.21,0.8921,310360.04,4.09,0.1481950601646612,0.44416925,138616.25509522288
PI,476,1.94,0.8356,105353.39,3.95,0.1613588110403397,0.4681002,49145.68184723533
PR,4923,0.37,0.9501,785305.81,4.24,0.10918367346938776,0.3908484,316567.4986297289
RJ,12350,1.73,0.8654,2063882.53,3.97,0.18393251985914338,0.46933562,969333.3098711849
RN,474,1.64,0.8791,100846.78,4.11,0.12951167728237792,0.43480772,43677.21964407772
RO,243,0.17,0.9721,56975.7,4.18,0.11983471074380166,0.4320668,24776.321974518596
RR,41,4.52,0.878,9039.52,3.9,0.14634146341463414,0.51615846,5462.643332380503
RS,5344,0.67,0.9294,866012.87,4.18,0.1196019526849418,0.40706077,356577.1075081107
SC,3546,0.76,0.9029,597148.45,4.13,0.1301506109690253,0.41337612,245551.77248812868
SE,335,2.5,0.8517,70289.13,3.9,0.18862275449101795,0.48737106,35310.260372059194
SP,40493,0.41,0.9421,5798662.08,4.25,0.1070656898050416,0.38519582,2258734.2306546927
TO,274,0.67,0.8814,60007.37,4.19,0.12087912087912088,0.41627038,24535.838791876136
